id,parent_id,title,cited,authors,publishers,snippet,link,link_to_citers
535,87,A novel median-point mode decomposition algorithm for motor rolling bearing fault recognition,1,"G Yao, B Fan, W Wang, H Ma - Mathematical Problems in Engineering, 2020",hindawi.com,"Precise fault recognition of motor rolling bearing fault is playing a significant role in any machinery and equipment. However, conventional decomposition methods fail to completely …",https://www.hindawi.com/journals/mpe/2020/9406479/,"https://scholar.google.com/scholar?cites=15726412353096187777&as_sdt=2005&sciodt=0,5&hl=en"
536,87,On the performance of empirical mode decomposition-based replay spoofing detection in speaker verification systems,1,"SH Mankad, S Garg - Progress in Artificial Intelligence, 2020",Springer,Automatic speaker verification (ASV) systems have maximum threat from replay spoofing attacks. High frequency regions of the underlying audio signal exhibit the phenomenon …,https://link.springer.com/article/10.1007/s13748-020-00216-0,"https://scholar.google.com/scholar?cites=9367792914308293387&as_sdt=2005&sciodt=0,5&hl=en"
537,87,OCEAN SOUND FIELD CHARACTERIZATION USING PROCESSING TECHNIQUES BASED ON NOISE SPATIAL COHERENCE,,N Shajahan,2022 dalspace.library.dal.ca,The spatial coherence of ambient noise can be used for noise-based inversion studies using appropriate coherence models. The main findings of this thesis are presented in four …,https://dalspace.library.dal.ca/handle/10222/81527,
538,87,Large-scale 3D point-cloud semantic segmentation of urban and rural scenes using data volume decomposition coupled with pipeline parallelism,3,"AWZ Chew, A Ji, L Zhang - Automation in Construction, 2022",Elsevier,This study proposes a generic approach which performs a series of systematic analyses by first introducing a data volume decomposition method to generate useful data features for …,https://www.sciencedirect.com/science/article/pii/S0926580521004465,"https://scholar.google.com/scholar?cites=11124672076962197376&as_sdt=2005&sciodt=0,5&hl=en"
539,85,Comparing methods suitable for monitoring marine mammals in low visibility conditions during seismic surveys,38,"UK Verfuss, D Gillespie, J Gordon, TA Marques… - Marine Pollution …, 2018",Elsevier,Loud sound emitted during offshore industrial activities can impact marine mammals. Regulations typically prescribe marine mammal monitoring before and/or during these …,https://www.sciencedirect.com/science/article/pii/S0025326X17308809,"https://scholar.google.com/scholar?cites=6906416386224430979&as_sdt=2005&sciodt=0,5&hl=en"
540,85,Detection of dugongs from unmanned aerial vehicles,23,"F Maire, L Mejias, A Hodgson… - 2013 IEEE/RSJ …, 2013",ieeexplore.ieee.org,Monitoring and estimation of marine populations is of paramount importance for the conservation and management of sea species. Regular surveys are used to this purpose …,https://ieeexplore.ieee.org/abstract/document/6696745/,"https://scholar.google.com/scholar?cites=10901508632171845533&as_sdt=2005&sciodt=0,5&hl=en"
541,85,Automated marine mammal detection from aerial imagery,20,"L Mejias, G Duclos, A Hodgson… - 2013 OCEANS-San …, 2013",ieeexplore.ieee.org,This paper presents two algorithms to automate the detection of marine species in aerial imagery. An algorithm from an initial pilot study is presented in which morphology operations …,https://ieeexplore.ieee.org/abstract/document/6741088/,"https://scholar.google.com/scholar?cites=9951071765587592549&as_sdt=2005&sciodt=0,5&hl=en"
542,85,Observations and tracking of killer whales (Orcinus orca) with shore‐based X‐band marine radar at a marine energy test site,8,"DL McCann, PS Bell - Marine Mammal Science, 2017",Wiley Online Library,"Abstract The Atlantic killer whale (Orcinus orca) is a top‐level marine predator with a global range, being found in all of Earth's oceans. The potential interaction between killer whales …",https://onlinelibrary.wiley.com/doi/abs/10.1111/mms.12395,"https://scholar.google.com/scholar?cites=12567497361970040327&as_sdt=2005&sciodt=0,5&hl=en"
543,85,On the detection of marine mammals with ship-borne polarimetric microwave radar,4,"SJ Anderson, JT Morris - OCEANS'10 IEEE SYDNEY, 2010",ieeexplore.ieee.org,Collisions between ships and whales are not rare occurrences. Apart from constituting a major cause of death for whale species which frequent busy oceanic areas such as the …,https://ieeexplore.ieee.org/abstract/document/5603942/,"https://scholar.google.com/scholar?cites=15286762562506949826&as_sdt=2005&sciodt=0,5&hl=en"
544,85,Workshop Report: Review of Near-real Time Whale Detection Technologies,,"JA Theriault, H Yurk, HB Moors-Murphy",2020 Fisheries and Oceans Canada …,,,
545,86,A synthesis of two decades of research documenting the effects of noise on wildlife,550,"G Shannon, MF McKenna, LM Angeloni… - Biological …, 2016",Wiley Online Library,"Global increases in environmental noise levels–arising from expansion of human populations, transportation networks, and resource extraction–have catalysed a recent …",https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12207,"https://scholar.google.com/scholar?cites=14551315441179797009&as_sdt=2005&sciodt=0,5&hl=en"
